paper_id	ontology_name	ontology_id	evidence_quote
PMC11492021	neuron	CL:0000540	LRRK2 is lowly expressed in neurons and prominently expressed in non-neuronal cells in the brain.
PMC11492021	astrocyte	CL:0000127	In contrast, in mice, LRRK2 expression is greater in astrocytes compared to microglia.
PMC11492021	microglial cell	CL:0000129	In the human cortex and SNpc, LRRK2 mRNA expression is greater in microglia, excitatory neurons, and oligodendrocyte precursor cells than other cell types.
PMC11492021	mouse embryonic fibroblast	CLO:0000566	For example, one study showed reduced lysosomal degradation, slower clearance of α-synuclein, and abnormal lysosomal clustering in the perinuclear region of mouse embryonic fibroblasts
PMC11492021	SH-SY5Y	CLO:0001905	Wang et al. demonstrated that LRRK2 alters mitochondrial dynamics in SH-SY5Y neuroblastoma cells and neurons
PMC11492021	HEK293T	CLO:0000555	In HEK293T cells, expression of pathogenic LRRK2 mutations (p.R1441C, p.Y1699C, p.G2019S, or p.I2020T) led to the sequestration of phosphorylated Rab8 at lysosomes
PMC11492021	BV2	CLO:0000523	LRRK2 knockdown BV2 microglia-like cells were faster, more mobile, and had denser actin structure than WT cells
bio_22d0f3497091	HEK293FT cell	CLO_0000282	We used cryo-CLEM to study how cellular localization of GFP-tagged hyperactive LRRK2 IT expressed in 293T cells is affected by treatment with either type I (MLi-2) or type II (GZD-824) inhibitors
PMC3805556	PC12 cell	CLO:0000230	The PC12-TET-ON cell line (Clontech Laboratories Inc) was cultivated in DMEM-F12 supplemented with 10% Tetracycline-free FCS (Lonza) at 37°C.
PMC3805556	SH-SY5Y cell	CLO:0005018	Human neuroblastoma SH-SY5Y cells (ATCC number CRL-2266) were grown in DMEM-F12 (Invitrogen), 10% fetal calf serum (FCS, Invitrogen) at 37°C.
PMC3805556	HEK293 cell	CLO:0000625	Briefly, SH-SY5Y or HEK293 cells or striatum were homogenized in ice-cold homogenization-buffer
PMC3124520	B cell	CL:0000236	LRRK2 mRNA and protein was found in circulating CD19 + B cells
PMC3124520	monocyte	CL:0000576	and in CD14 + monocytes, whereas CD4 + and CD8 + T cells were devoid of LRRK2 mRNA.
PMC3124520	T cell	CL:0000084	whereas CD4 + and CD8 + T cells were devoid of LRRK2 mRNA.
PMC3124520	dendritic cell	CL:0000451	High levels of LRRK2 protein were detected in both dendritic cells and macrophages
PMC3124520	macrophage	CL:0000235	High levels of LRRK2 protein were detected in both dendritic cells and macrophages
