paper_id	title	authors	journal_or_source	pub_year	pub_date	doi
PMC11492021	How Parkinson’s Disease-Linked LRRK2 Mutations Affect Different CNS Cell Types	Hannah M. Bailey, Mark R. Cookson	Journal of Parkinson's Disease	2024	2024-06-15	10.3233/JPD-230432
PMC12238589	LRRK2 interactions with microtubules are independent of LRRK2-mediated Rab phosphorylation	Tuyana Malankhanova, Zhiyong Liu, Enquan Xu, Nicole Bryant, Ki Woon Sung, Huizhong Li, Samuel Strader, Andrew B West	EMBO Reports	2025	2025-05-27	10.1038/s44319-025-00486-6
PMC3124520	Regulation of LRRK2 Expression Points to a Functional Role in Human Monocyte Maturation	Jonathan Thévenet, Rosanna Pescini Gobert, Robertus Hooft van Huijsduijnen, Christoph Wiessner, Yves Jean Sagot	PLoS ONE	2011	2011-01-01	10.1371/journal.pone.0021519
PMC3805556	LRRK2 Affects Vesicle Trafficking, Neurotransmitter Extracellular Level and Membrane Receptor Localization	Rossana Migheli, Maria Grazia Del Giudice, Ylenia Spissu, Giovanna Sanna, Yulan Xiong, Ted M. Dawson, Valina L. Dawson, Manuela Galioto, Gaia Rocchitta, Alice Biosa, Pier Andrea Serra, Maria Teresa Carri, Claudia Crosio, Ciro Iaccarino	PLoS ONE	2013	2013-01-01	10.1371/journal.pone.0077198
PMC7560525	Pathogenic LRRK2 requires secondary factors to induce cellular toxicity	Evy Lobbestael, Chris Van den Haute, Francesca Macchi, Jean-Marc Taymans, Veerle Baekelandt	Bioscience Reports	2020	2020-10-30	10.1042/BSR20202225
PMC9296523	LRRK2 kinase activity regulates GCase level and enzymatic activity differently depending on cell type in Parkinson’s disease	Maria Kedariti, Emanuele Frattini, Pascale Baden, Susanna Cogo, Laura Civiero, Elena Ziviani, Gianluca Zilio, Federico Bertoli, Massimo Aureli, Alice Kaganovich, Mark R. Cookson, Leonidas Stefanis, Matthew Surface, Michela Deleidi, Alessio Di Fonzo, Roy N. Alcalay, Hardy Rideout, Elisa Greggio, Nicoletta Plotegher	NPJ Parkinson's Disease	2022	2022-07-19	10.1038/s41531-022-00354-3
arx_2412.06805	HiCat: A Semi-Supervised Approach for Cell Type Annotation	Chang Bi, Kailun Bai, Xing Li, Xuekui Zhang	arxiv		2024-11-25	10.1093/bib/bbaf428
arx_2512.10640	Refinement Contrastive Learning of Cell-Gene Associations for Unsupervised Cell Type Identification	Liang Peng, Haopeng Liu, Yixuan Ye, Cheng Liu, Wenjun Shen, Si Wu, Hau-San Wong	arxiv		2025-12-11	
arx_2603.14321	Personalized Cell Segmentation: Benchmark and Framework for Reference-Guided Cell Type Segmentation	Bisheng Wang, Jaime S. Cardoso, Lin Wu	arxiv		2026-03-15	
bio_1e3cf8236f6f	Pathologic α-Synuclein Species Activate LRRK2 in Pro-Inflammatory Monocyte and Macrophage Responses	Enquan Xu, Ravindra Boddu, Hisham A. Abdelmotilib, Kaela Kelly, Arpine Sokratian, Ashley S. Harms, Aubrey M. Schonhoff, Nicole Bryant, Irene E. Harmsen, Michael G. Schlossmacher, Sidhanth Chandra, Valentina Krendelshchikova, Zhiyong Liu, Andrew B. West *	biorxiv		2020-05-04	10.1101/2020.05.04.077065
bio_22d0f3497091	In-cell cryo-electron tomography reveals differential effects of type I and type II kinase inhibitors on LRRK2 filament formation and microtubule association	Tamar Basiashvili, Joshua Hutchings, Siyu Chen, Eva P. Karasmanis, W. Alexander Flaherty, Andres E. Leschziner *, Elizabeth Villa *	biorxiv		2025-12-18	10.64898/2025.12.18.694444
bio_6a3b4b3f6c6d	Differential LRRK2 signalling and gene expression in WT-LRRK2 and G2019S-LRRK2 mouse microglia treated with zymosan and MLi2	Iqra Nazish, Adamantios Mamais, Anna Mallach, Conceicao Bettencourt, Alice Kaganovich, Tom Warner, John Hardy, Patrick A. Lewis, Jennifer Pocock, Mark R Cookson, Rina Bandopadhyay *	biorxiv		2023-09-14	10.1101/2023.09.14.557532
bio_af7a664e7803	LRRK2  G2019S mutation suppresses differentiation of Th9 and Treg cells via JAK/STAT3	Ningbo Zheng, Roshni Jaffery, Ashley Guerrero, Jiakai Hou, Yuchen Pan, Fang Zhou, Si Chen, Chunyu Xu, Nicholas A. Egan, Ritu Bohat, Ken Chen, Michael A. Schwarzschild, Xiqun Chen *, Weiyi Peng *	biorxiv		2024-02-28	10.1101/2024.02.28.582561
