paper_id	species	yap_alteration	alteration_category	tissue_or_organ	phenotype	evidence_quote
bio_44a6bc0b755f	human	CFIm loss	upstream_pathway_loss	colon cancer cells (HCT116)	increased YAP/TAZ transcriptional activity and target gene expression	dTAG V -1 treatment increased the expression of all 3 genes, indicating that the YAP/TAZ transcription program was likely activated in response to CFIm loss
bio_44a6bc0b755f	human	CPSF6 knockdown	upstream_pathway_loss	breast cancer cells (MDA-MB-231)	increased YAP/TAZ transcriptional activity	the expression of CTGF and CYR61 was again increased in shCPSF6-MDA cells with low CPSF6 expression
bio_44a6bc0b755f	human	NEDD4L overexpression	overexpression	breast cancer cells (MDA-MB-231)	increased YAP/TAZ transcriptional activity	transfected wildtype MDA-MB-231 cells with an NEDD4L-expressing plasmid, which induced CTGF and CYR61 expression
bio_44a6bc0b755f	human	YAP1 S127/397A	activating_mutation	colon cancer cells (HCT116)	activation of YAP signaling and increased Trametinib resistance	Doxycycline treatment of YAP1 S127/397A HCT116 cells strongly activated CTGF expression ( Fig. S4A ) and increased Trametinib resistance
PMC5915420	mouse	TAZ overexpression	overexpression	mammary epithelial cells	increased mammary glandular size	TAZ induction in mammary epithelial cells was associated with an increase in mammary glandular size, which probably resulted from adipocyte hypertrophy.
PMC5915420	mouse	TAZ-4SA overexpression	overexpression	mammary epithelial cells	advanced mammary gland development	over-expression of TAZ in mammary epithelial cells induced advanced mammary gland development in the early puberty stage.
PMC5915420	mouse	TAZ-4SA overexpression	overexpression	mammary epithelial cells	tumor formation	TAZ activation induced massive tumor formation in response to carcinogen (DMBA) treatment.
PMC5915420	Drosophila	Yki overexpression	overexpression	fat bodies	weight gain and greater fat storage	in Drosophila the loss of function of Hpo (MST1/2) or overexpression of Yki (YAP/TAZ) in fat bodies result in weight gain and greater fat storage
PMC6147738	human	YAP1 amplification	amplification	SCC	tumor formation	The transcriptional co-activator YAP undergoes recurrent amplification in human SCC and overexpression of YAP drives SCC formation in mice.
PMC6147738	mouse	YAP overexpression	overexpression	SCC	tumor formation	The transcriptional co-activator YAP undergoes recurrent amplification in human SCC and overexpression of YAP drives SCC formation in mice.
PMC6147738	mouse	NLS-YAP-5SA	overexpression	skin epidermis	formation of SCC and spSCC	overexpression of activated YAP (NLS-YAP-5SA) with Keratin-5 (K5-CreERt) is sufficient to induce rapid formation of both SCC and spSCC in mice.
PMC12147517	mouse	YAP overexpression	overexpression	liver	hepatocellular carcinoma	YAP/TAZ activation is sufficient to lead to cancers in mice, such as hepatocellular carcinoma and cholangiocarcinoma
PMC12147517	mouse	TAZ S4A mutant protein	activating_mutation	endothelial cells	EHE-like tumors	Mice genetically engineered to express a TAZ S4A or YAP S5A mutant protein, in which all Hippo phosphorylation sites of TAZ or YAP are mutated, show a formation of EHE-like tumors
PMC12147517	mouse	YAP S5A mutant protein	activating_mutation	endothelial cells	EHE-like tumors	Mice genetically engineered to express a TAZ S4A or YAP S5A mutant protein, in which all Hippo phosphorylation sites of TAZ or YAP are mutated, show a formation of EHE-like tumors
PMC12147517	mouse	LATS1/LATS2 KO	upstream_pathway_loss	ependymoma	ependymomas	However, either loss of both LATS1 and LATS2 , leading to activation of wild-type YAP/TAZ, or expression of YAP::MAMLD1 or ZFTA::YAP is sufficient to result in ependymomas in mice
PMC7903139	mouse	Akt/NRas/pCMV (control)	overexpression	liver	hepatocarcinogenesis	To compare the functional requirements of Yap and Taz in Akt/NRas-driven hepatocarcinogenesis, we hydrodynamically injected myristoylated-protein kinase B with hemagglutinin tag (myr-Akt-HA-tagged) and NRasV12
bio_bcf0b0026e82	mouse	activated versions of the Notch receptor (NICD) and myristoylated Akt (myr-AKT)	overexpression	cholangiocarcinoma	tumor formation	HDTVI-induced CCA model utilizing a transposase-based system to express activated versions of the Notch receptor (NICD) and myristoylated Akt (myr-AKT)
PMC6662713	mouse	YAP overexpression	overexpression	NIH3T3 cells	tumorigenic transformation	overexpression of YAP in NIH3T3 cells was sufficient for inducing tumorigenic transformation of cells.
PMC6662713	mouse	YAP-S112A (mtYAP)	activating_mutation	NIH3T3 cells	tumorigenic transformation	we found that NIH3T3 cells overexpressing YAP or mtYAP showed continuous growth even after cells reached confluence
