paper_id	species	yap_alteration	alteration_category	tissue_or_organ	phenotype	evidence_quote	title	authors	journal_or_source	pub_year	doi
bio_44a6bc0b755f	human	CFIm loss	upstream_pathway_loss	colon cancer cells (HCT116)	increased YAP/TAZ transcriptional activity and target gene expression	dTAG V -1 treatment increased the expression of all 3 genes, indicating that the YAP/TAZ transcription program was likely activated in response to CFIm loss	Loss of CFIm activates YAP/TAZ and connects mRNA cleavage and polyadenylation inhibition to BRCAness	Madeleine Goldthorpe, Jiahui Hou, Abhi Nadendla, Hatice Ulku Osmanbeyoglu, Hun-Way Hwang *	biorxiv		10.1101/2025.10.21.683728
bio_44a6bc0b755f	human	CPSF6 knockdown	upstream_pathway_loss	breast cancer cells (MDA-MB-231)	increased YAP/TAZ transcriptional activity	the expression of CTGF and CYR61 was again increased in shCPSF6-MDA cells with low CPSF6 expression	Loss of CFIm activates YAP/TAZ and connects mRNA cleavage and polyadenylation inhibition to BRCAness	Madeleine Goldthorpe, Jiahui Hou, Abhi Nadendla, Hatice Ulku Osmanbeyoglu, Hun-Way Hwang *	biorxiv		10.1101/2025.10.21.683728
bio_44a6bc0b755f	human	NEDD4L overexpression	overexpression	breast cancer cells (MDA-MB-231)	increased YAP/TAZ transcriptional activity	transfected wildtype MDA-MB-231 cells with an NEDD4L-expressing plasmid, which induced CTGF and CYR61 expression	Loss of CFIm activates YAP/TAZ and connects mRNA cleavage and polyadenylation inhibition to BRCAness	Madeleine Goldthorpe, Jiahui Hou, Abhi Nadendla, Hatice Ulku Osmanbeyoglu, Hun-Way Hwang *	biorxiv		10.1101/2025.10.21.683728
bio_44a6bc0b755f	human	YAP1 S127/397A	activating_mutation	colon cancer cells (HCT116)	activation of YAP signaling and increased Trametinib resistance	Doxycycline treatment of YAP1 S127/397A HCT116 cells strongly activated CTGF expression ( Fig. S4A ) and increased Trametinib resistance	Loss of CFIm activates YAP/TAZ and connects mRNA cleavage and polyadenylation inhibition to BRCAness	Madeleine Goldthorpe, Jiahui Hou, Abhi Nadendla, Hatice Ulku Osmanbeyoglu, Hun-Way Hwang *	biorxiv		10.1101/2025.10.21.683728
PMC5915420	mouse	TAZ overexpression	overexpression	mammary epithelial cells	increased mammary glandular size	TAZ induction in mammary epithelial cells was associated with an increase in mammary glandular size, which probably resulted from adipocyte hypertrophy.	The Hippo Signaling Transducer TAZ Regulates Mammary Gland Morphogenesis and Carcinogen-induced Mammary Tumorigenesis	Kayla E. Denson, Ashley L. Mussell, He Shen, Alexander Truskinovsky, Nuo Yang, Natesh Parashurama, Yanmin Chen, Costa Frangou, Fajun Yang, Jianmin Zhang	Scientific Reports	2018	10.1038/s41598-018-24712-5
PMC5915420	mouse	TAZ-4SA overexpression	overexpression	mammary epithelial cells	advanced mammary gland development	over-expression of TAZ in mammary epithelial cells induced advanced mammary gland development in the early puberty stage.	The Hippo Signaling Transducer TAZ Regulates Mammary Gland Morphogenesis and Carcinogen-induced Mammary Tumorigenesis	Kayla E. Denson, Ashley L. Mussell, He Shen, Alexander Truskinovsky, Nuo Yang, Natesh Parashurama, Yanmin Chen, Costa Frangou, Fajun Yang, Jianmin Zhang	Scientific Reports	2018	10.1038/s41598-018-24712-5
PMC5915420	mouse	TAZ-4SA overexpression	overexpression	mammary epithelial cells	tumor formation	TAZ activation induced massive tumor formation in response to carcinogen (DMBA) treatment.	The Hippo Signaling Transducer TAZ Regulates Mammary Gland Morphogenesis and Carcinogen-induced Mammary Tumorigenesis	Kayla E. Denson, Ashley L. Mussell, He Shen, Alexander Truskinovsky, Nuo Yang, Natesh Parashurama, Yanmin Chen, Costa Frangou, Fajun Yang, Jianmin Zhang	Scientific Reports	2018	10.1038/s41598-018-24712-5
PMC5915420	Drosophila	Yki overexpression	overexpression	fat bodies	weight gain and greater fat storage	in Drosophila the loss of function of Hpo (MST1/2) or overexpression of Yki (YAP/TAZ) in fat bodies result in weight gain and greater fat storage	The Hippo Signaling Transducer TAZ Regulates Mammary Gland Morphogenesis and Carcinogen-induced Mammary Tumorigenesis	Kayla E. Denson, Ashley L. Mussell, He Shen, Alexander Truskinovsky, Nuo Yang, Natesh Parashurama, Yanmin Chen, Costa Frangou, Fajun Yang, Jianmin Zhang	Scientific Reports	2018	10.1038/s41598-018-24712-5
PMC6147738	human	YAP1 amplification	amplification	SCC	tumor formation	The transcriptional co-activator YAP undergoes recurrent amplification in human SCC and overexpression of YAP drives SCC formation in mice.	YAP drives cutaneous squamous cell carcinoma formation and progression	Zoé Vincent-Mistiaen, Ahmed Elbediwy, Hannah Vanyai, Jennifer Cotton, Gordon Stamp, Emma Nye, Bradley Spencer-Dene, Gareth J Thomas, Junhao Mao, Barry Thompson	eLife	2018	10.7554/eLife.33304.013
PMC6147738	mouse	YAP overexpression	overexpression	SCC	tumor formation	The transcriptional co-activator YAP undergoes recurrent amplification in human SCC and overexpression of YAP drives SCC formation in mice.	YAP drives cutaneous squamous cell carcinoma formation and progression	Zoé Vincent-Mistiaen, Ahmed Elbediwy, Hannah Vanyai, Jennifer Cotton, Gordon Stamp, Emma Nye, Bradley Spencer-Dene, Gareth J Thomas, Junhao Mao, Barry Thompson	eLife	2018	10.7554/eLife.33304.013
PMC6147738	mouse	NLS-YAP-5SA	overexpression	skin epidermis	formation of SCC and spSCC	overexpression of activated YAP (NLS-YAP-5SA) with Keratin-5 (K5-CreERt) is sufficient to induce rapid formation of both SCC and spSCC in mice.	YAP drives cutaneous squamous cell carcinoma formation and progression	Zoé Vincent-Mistiaen, Ahmed Elbediwy, Hannah Vanyai, Jennifer Cotton, Gordon Stamp, Emma Nye, Bradley Spencer-Dene, Gareth J Thomas, Junhao Mao, Barry Thompson	eLife	2018	10.7554/eLife.33304.013
PMC12147517	mouse	YAP overexpression	overexpression	liver	hepatocellular carcinoma	YAP/TAZ activation is sufficient to lead to cancers in mice, such as hepatocellular carcinoma and cholangiocarcinoma	YAP, TAZ, and Hippo-Dysregulating Fusion Proteins in Cancer	Jordan H. Driskill, Josephine K. Dermawan, Cristina R. Antonescu, Duojia Pan	Annual review of cancer biology	2024	10.1146/annurev-cancerbio-061223-094639
PMC12147517	mouse	TAZ S4A mutant protein	activating_mutation	endothelial cells	EHE-like tumors	Mice genetically engineered to express a TAZ S4A or YAP S5A mutant protein, in which all Hippo phosphorylation sites of TAZ or YAP are mutated, show a formation of EHE-like tumors	YAP, TAZ, and Hippo-Dysregulating Fusion Proteins in Cancer	Jordan H. Driskill, Josephine K. Dermawan, Cristina R. Antonescu, Duojia Pan	Annual review of cancer biology	2024	10.1146/annurev-cancerbio-061223-094639
PMC12147517	mouse	YAP S5A mutant protein	activating_mutation	endothelial cells	EHE-like tumors	Mice genetically engineered to express a TAZ S4A or YAP S5A mutant protein, in which all Hippo phosphorylation sites of TAZ or YAP are mutated, show a formation of EHE-like tumors	YAP, TAZ, and Hippo-Dysregulating Fusion Proteins in Cancer	Jordan H. Driskill, Josephine K. Dermawan, Cristina R. Antonescu, Duojia Pan	Annual review of cancer biology	2024	10.1146/annurev-cancerbio-061223-094639
PMC12147517	mouse	LATS1/LATS2 KO	upstream_pathway_loss	ependymoma	ependymomas	However, either loss of both LATS1 and LATS2 , leading to activation of wild-type YAP/TAZ, or expression of YAP::MAMLD1 or ZFTA::YAP is sufficient to result in ependymomas in mice	YAP, TAZ, and Hippo-Dysregulating Fusion Proteins in Cancer	Jordan H. Driskill, Josephine K. Dermawan, Cristina R. Antonescu, Duojia Pan	Annual review of cancer biology	2024	10.1146/annurev-cancerbio-061223-094639
PMC7903139	mouse	Akt/NRas/pCMV (control)	overexpression	liver	hepatocarcinogenesis	To compare the functional requirements of Yap and Taz in Akt/NRas-driven hepatocarcinogenesis, we hydrodynamically injected myristoylated-protein kinase B with hemagglutinin tag (myr-Akt-HA-tagged) and NRasV12	Distinct and Overlapping Roles of Hippo Effectors YAP and TAZ During Human and Mouse Hepatocarcinogenesis	Haichuan Wang, Jingxiao Wang, Shanshan Zhang, Jiaoyuan Jia, Xianqiong Liu, Jie Zhang, Pan Wang, Xinhua Song, Li Che, Ke Liu, Silvia Ribback, Antonio Cigliano, Matthias Evert, Hong Wu, Diego F. Calvisi, Yong Zeng, Xin Chen	Cellular and Molecular Gastroenterology and Hepatology	2021	10.1016/j.jcmgh.2020.11.008
bio_bcf0b0026e82	mouse	activated versions of the Notch receptor (NICD) and myristoylated Akt (myr-AKT)	overexpression	cholangiocarcinoma	tumor formation	HDTVI-induced CCA model utilizing a transposase-based system to express activated versions of the Notch receptor (NICD) and myristoylated Akt (myr-AKT)	Transient YAP/TAZ inhibition exposes therapeutic vulnerabilities in advanced cancers	Marco Jessen, KyungMok Kim, Marie Tollot-Wegner, Anita Cindric Vranesic, Cagla Dönmez, Celina Junker, Tina Lehmann, Advitiya Khandelwal, Yuliya Kurlishchuk, Tom Hünniger, Christin Ritter, Evaristo Di Napoli, Shyam Krishnan Murali, Viktoria Buck, Sabine Muth, Tracy T. Tang, Andreas Rosenwald, Markus Radsak, Donato Inverso, Orlando Paciello, Björn von Eyss *	biorxiv		10.1101/2025.07.03.662986
PMC6662713	mouse	YAP overexpression	overexpression	NIH3T3 cells	tumorigenic transformation	overexpression of YAP in NIH3T3 cells was sufficient for inducing tumorigenic transformation of cells.	Transformation of normal cells by aberrant activation of YAP via cMyc with TEAD	Masazumi Nishimoto, Kousuke Uranishi, Masamitsu N. Asaka, Ayumu Suzuki, Yosuke Mizuno, Masataka Hirasaki, Akihiko Okuda	Scientific Reports	2019	10.1038/s41598-019-47301-6
PMC6662713	mouse	YAP-S112A (mtYAP)	activating_mutation	NIH3T3 cells	tumorigenic transformation	we found that NIH3T3 cells overexpressing YAP or mtYAP showed continuous growth even after cells reached confluence	Transformation of normal cells by aberrant activation of YAP via cMyc with TEAD	Masazumi Nishimoto, Kousuke Uranishi, Masamitsu N. Asaka, Ayumu Suzuki, Yosuke Mizuno, Masataka Hirasaki, Akihiko Okuda	Scientific Reports	2019	10.1038/s41598-019-47301-6
PMC6662713	mouse	Nf2 knockdown	upstream_pathway_loss	NIH3T3 cells	liberation from cell-to-cell contact inhibition and anchorage-independent growth	NIH3T3 cells deficient for Nf2 gene expression showed liberation from cell-to-cell contact inhibition and anchorage-independent growth	Transformation of normal cells by aberrant activation of YAP via cMyc with TEAD	Masazumi Nishimoto, Kousuke Uranishi, Masamitsu N. Asaka, Ayumu Suzuki, Yosuke Mizuno, Masataka Hirasaki, Akihiko Okuda	Scientific Reports	2019	10.1038/s41598-019-47301-6
